DistanceToGoal,Angle_to_goal,DistanceToOpp,OppX,OppY,OppVx,OppVy,VtowardsBall,Success,PredictedSucess,Probability,*ForTrain*
2971.769287,0.626586,1734.945923,1714.987671,-262.401611,24.47168,665.281128,665.281128,NO,YES,0.71915,
3484.575195,0.593529,3038.92334,3010.805176,-412.440674,1.798981,787.366699,787.366699,NO,NO,0.223187,
3514.30957,0.85236,2771.286621,2759.861816,-251.382812,6.284241,461.177979,461.177979,NO,NO,0.223425,
3129.991943,0.707439,2760.013184,2734.345459,-375.536865,-5.460052,767.912598,767.912598,NO,NO,0.380401,
3271.727539,0.566678,2999.226807,2970.17041,-416.472534,2.37149,776.126953,776.126953,NO,NO,0.277369,
2566.857422,0.735427,2182.621094,2153.393066,-355.996033,-2.329224,747.29126,747.29126,NO,YES,0.946314,
3306.806885,0.839118,2754.860596,2740.385254,-282.03894,-4.447914,249.57074,249.57074,NO,NO,0.281891,
3170.723633,0.676553,2473.284668,2454.312744,-305.7547,3.581329,711.620361,711.620361,NO,NO,0.39362,
2929.927246,0.864558,2356.004639,2342.903809,-248.112671,-0.914032,698.924316,698.924316,NO,YES,0.674294,
3275.273682,0.811145,2842.600342,2820.833984,-351.10022,-5.91864,650.818359,650.818359,NO,NO,0.288807,
2783.874756,0.695678,1966.337036,1950.12915,-251.948303,6.284637,574.700134,574.700134,NO,YES,0.870595,
3952.601807,0.693374,3494.90332,3481.788574,-302.486816,-23.927048,281.884583,281.884583,NO,NO,0.117924,
3496.445312,0.783022,2679.196289,2662.038086,-302.732544,4.010559,696.301575,696.301575,NO,NO,0.237122,
3092.500977,0.744566,2132.275879,2118.093018,-245.523621,11.161285,551.916382,551.916382,NO,YES,0.523946,
2742.078125,0.506338,2308.423584,2292.543945,270.300354,22.652802,-583.843689,583.843689,NO,YES,0.903287,
2893.526123,0.956638,2201.289062,2187.960205,-241.875122,5.523651,398.713013,398.713013,NO,YES,0.744306,
2715.8396,0.567907,2374.351318,2354.606934,-305.564758,4.039093,716.306396,716.306396,NO,YES,0.870902,
3157.642822,0.850202,2114.45752,2101.364258,-234.944397,4.032562,444.33197,444.33197,NO,NO,0.459501,
3749.865234,0.698793,3351.47876,3333.664551,-345.095337,2.423523,784.453125,784.453125,NO,NO,0.156262,
3481.525391,0.6419,2992.193115,2957.205811,-456.236938,0,0,0,NO,NO,0.231081,
3566.05835,0.683798,2886.406738,2870.5625,-302.01709,6.343506,235.397064,235.397064,NO,NO,0.210666,
3279.480469,0.607635,2817.4021,2789.907471,-392.646484,-1.357513,877.086426,877.086426,NO,NO,0.292569,
3350.706299,0.899229,2715.280029,2703.130859,-256.570435,-4.993011,306.493866,306.493866,NO,NO,0.268779,
2933.322754,0.713237,2153.256348,2131.649414,-304.2771,11.848053,589.513,589.513,NO,YES,0.698397,
2652.723389,0.938815,2068.708984,2052.105957,-261.567932,13.997437,681.243958,681.243958,NO,YES,0.929319,
3054.00708,0.944446,2416.419678,2403.220947,-252.216431,-4.573502,316.925629,316.925629,NO,YES,0.516172,
3539.496826,0.737627,2411.972412,2398.456543,-254.983643,-1.724182,410.02533,410.02533,NO,NO,0.240009,
3509.382324,0.672202,3068.498291,3052.512939,-312.803833,-10.980179,258.514099,258.514099,NO,NO,0.207067,
2646.078613,0.291093,2509.30835,2490.061523,310.197144,19.981628,-582.466614,582.466614,NO,YES,0.932035,
3350.419434,0.696694,2871.862305,2855.006592,-310.693115,4.700439,216.640381,216.640381,NO,NO,0.257427,
3021.621338,0.781536,2035.996338,2019.49707,-258.674561,3.490234,707.885742,707.885742,NO,YES,0.619837,
2122.717773,0.49134,1738.971802,1713.041382,299.186096,27.853806,-291.645081,291.645081,YES,YES,0.993671,
2199.956299,0.871816,1778.755005,1743.746338,-351.166321,-8.198135,435.153748,435.153748,YES,YES,0.99102,
2530.768311,0.588175,1849.49585,1830.290039,265.845459,14.522446,-307.99292,307.99292,YES,YES,0.972883,
2620.903564,0.645151,2508.220459,2487.264648,323.54834,-21.369255,-110.047386,110.047386,YES,YES,0.940677,
2804.680664,0.632237,2070.184326,2032.102417,-395.25116,-0.519577,433.219604,433.219604,YES,YES,0.826726,
2550.507324,0.805826,1877.48938,1842.186279,-362.375427,-1.304031,513.680725,513.680725,YES,YES,0.961001,
2474.987305,0.858294,2037.118652,2007.935059,-343.582397,-8.363586,581.352844,581.352844,YES,YES,0.969089,
3388.818604,0.495593,2714.999023,2678.946777,-440.980896,2.134262,450.052673,450.052673,YES,NO,0.26888,
2533.122559,0.60129,2384.694092,2361.882812,329.05304,-54.942497,81.102089,-81.102089,YES,YES,0.964178,
2593.987061,0.741576,1738.803955,1702.446289,-353.71637,-3.827744,374.520721,374.520721,YES,YES,0.957146,
2540.500977,0.379872,1676.145874,1654.131104,270.768005,26.604782,-412.666901,412.666901,YES,YES,0.974287,
